"Suburb","Address","Rooms","Type","Price","Method","SellerG","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea"
"Kensington","65 Gatehouse Dr",3,"h",852000,"S","Nelson",4.2,"3031",3,1,1,166,138,2000,"Melbourne"
"Northcote","12 Stott St",3,"h",1225000,"SP","Barry",5.5,"3070",3,1,2,307,135,1910,"Darebin"
"Brighton","95 Cochrane St",4,"h",3295888,"S","Hodges",11.2,"3186",4,3,2,565,337,1990,"Bayside"
"Thornbury","39 Keon St",3,"h",1020000,"S","Nelson",6.5,"3071",3,1,1,366,NA,NA,"Darebin"
"Brighton","7 Chavasse St",3,"h",1875000,"S","Hodges",11.2,"3186",3,2,2,275,170,1991,"Bayside"
"North Melbourne","2/150 Arden St",2,"u",440000,"PI","hockingstuart",2.3,"3051",2,1,1,0,NA,1960,"Melbourne"
"Richmond","28/8 Hull St",2,"u",450000,"PI","Biggin",2.6,"3121",2,1,1,0,66,2000,"Yarra"
"Aberfeldie","99 Fawkner St",4,"h",1325000,"PI","Weda",9.1,"3040",4,2,2,674,NA,NA,"Moonee Valley"
"Maidstone","2/45 Cathcart St",2,"u",485000,"S","Jas",9.2,"3012",2,1,1,152,NA,NA,"Maribyrnong"
"Glen Iris","28 Alfred Rd",4,"h",1800000,"VB","Marshall",9.2,"3146",4,2,2,868,217,1930,"Boroondara"
"Sunshine","34 Matthews St",3,"h",950000,"SP","Jas",12.6,"3020",3,1,4,704,NA,NA,"Brimbank"
"Hadfield","119 Middle St",4,"h",650000,"S","Barry",12.1,"3046",4,1,4,588,NA,NA,"Moreland"
"Bentleigh East","2/95 Victor Rd",2,"u",765000,"S","Woodards",13.9,"3165",NA,NA,NA,NA,NA,NA,""
"Reservoir","39 Taylor Av",3,"h",633000,"SP","Ray",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Niddrie","21 Diamond St",3,"h",840000,"S","Brad",11.2,"3042",3,1,2,603,NA,NA,"Moonee Valley"
"Hawthorn","8/1 Muir St",3,"u",1000000,"PI","Kay",4.6,"3122",3,3,2,0,145,1999,"Boroondara"
"Heidelberg Heights","4 Collins St",3,"h",720000,"S","Barry",10.5,"3081",3,1,0,505,NA,NA,"Banyule"
"Sunshine West","22 McCoubrie Av",3,"h",478000,"S","Barry",13.5,"3020",NA,NA,NA,NA,NA,NA,""
"Balwyn North","5 Grieve St",4,"h",2205000,"S","Fletchers",9.2,"3104",4,2,2,1010,250,1950,"Boroondara"
"Fitzroy North","35 Birkenhead St",2,"h",1290000,"S","Chambers",3.5,"3068",2,1,0,136,92,1890,"Yarra"
"Brighton","82 New St",5,"h",3700000,"VB","Kay",11.2,"3186",4,3,4,1572,305,1890,"Bayside"
"Brunswick West","4/1 Allard St",2,"u",473000,"S","Harrington",5.9,"3055",2,1,2,568,NA,NA,"Moreland"
"Glen Iris","2/67 Staughton Rd",3,"h",1375000,"S","Marshall",9.2,"3146",3,2,2,328,176,1990,"Boroondara"
"Williamstown","64 Twyford St",4,"h",3130000,"S","RT",8,"3016",4,2,2,897,NA,1920,"Hobsons Bay"
"Kew","31 Argyle Rd",4,"h",2600000,"VB","Kay",5.6,"3101",4,3,2,700,700,1992,"Boroondara"
"Brighton","9 Holmwood Av",3,"h",3085000,"S","Marshall",11.2,"3186",NA,NA,NA,NA,NA,NA,""
"Collingwood","6/78 Oxford St",2,"u",910000,"S","Jellis",1.6,"3066",2,1,1,0,97,1880,"Yarra"
"Armadale","8/507 Dandenong Rd",2,"u",577000,"S","Jellis",6.3,"3143",NA,NA,NA,NA,NA,NA,""
"Prahran","503/120 Greville St",3,"u",1350000,"VB","MICM",4.5,"3181",3,2,2,0,NA,NA,"Stonnington"
"Heidelberg Heights","34 Law St",2,"h",785000,"S","Barry",10.5,"3081",NA,NA,NA,NA,NA,NA,""
"Keilor Park","44 Erebus St",4,"t",746000,"S","Barry",14.5,"3042",4,3,1,308,174,1970,"Brimbank"
"Bentleigh East","30a Chesterville Dr",4,"t",1250000,"PI","Buxton",13.9,"3165",NA,NA,NA,NA,NA,NA,""
"Carnegie","22 Seymour Av",3,"t",1190000,"S","Gary",11.4,"3163",NA,NA,NA,NA,NA,NA,""
"Sunshine West","2/10 Carter St",3,"u",545000,"S","Barry",13.5,"3020",3,2,1,240,131,2011,"Brimbank"
"Malvern East","5/417 Wattletree Rd",2,"u",835000,"S","Jellis",11.2,"3145",2,1,1,0,118,1930,"Stonnington"
"Elwood","1/99 Spray St",2,"u",632000,"PI","hockingstuart",7.7,"3184",2,1,1,0,54,1970,"Port Phillip"
"Strathmore","27 Woolart St",4,"h",1052000,"S","Considine",9.7,"3041",4,2,2,699,NA,NA,"Moonee Valley"
"Carnegie","3/9 Madden Av",2,"u",702000,"S","Gary",11.4,"3163",NA,NA,NA,NA,NA,NA,""
"Brunswick West","201 Hope St",2,"h",711000,"S","Nelson",5.9,"3055",2,1,1,177,87,1910,"Moreland"
"Coburg","171 Moreland Rd",4,"h",145000,"PI","Jellis",7.8,"3058",3,1,1,536,164,1910,"Moreland"
"St Kilda","6/26 Charnwood Cr",2,"u",600000,"SP","Biggin",6.1,"3182",NA,NA,NA,NA,NA,NA,""
"Brighton","2/5 Loller St",3,"t",1411000,"S","Buxton",11.2,"3186",3,2,2,0,NA,2011,"Bayside"
"Bentleigh East","14a Daphne St",1,"u",580000,"S","Woodards",13.9,"3165",1,1,1,105,NA,NA,"Glen Eira"
"Bentleigh East","2/10 Matthews Rd",2,"u",485000,"SP","Buxton",13.9,"3165",2,2,2,0,83,2011,"Glen Eira"
"Sunshine West","57 Warmington Rd",3,"h",500000,"SP","Barry",13.5,"3020",3,1,2,627,109,1970,"Brimbank"
"Ascot Vale","2/225 Maribyrnong Rd",2,"t",705000,"S","Brad",5.9,"3032",2,2,1,113,NA,1998,"Moonee Valley"
"Ashwood","4 Peppermint Ct",4,"h",1510000,"S","Buxton",12.2,"3147",4,2,2,526,NA,NA,"Monash"
"Reservoir","13 Southernhay St",3,"h",787000,"S","Stockdale",11.2,"3073",3,1,1,563,118,1940,"Darebin"
"Kew","36 Denmark St",3,"h",1290000,"S","Christopher",5.6,"3101",3,1,0,321,NA,NA,"Boroondara"
"Camberwell","36 Pine Av",4,"h",3250000,"PI","Marshall",7.8,"3124",NA,NA,NA,NA,NA,NA,""
"Ashburton","115 Ashburn Gr",8,"h",2950000,"S","hockingstuart",11,"3147",9,7,4,1472,618,2009,"Boroondara"
"Preston","17 Townhall Av",3,"h",852000,"S","Nelson",8.8,"3072",NA,NA,NA,NA,NA,NA,""
"West Melbourne","2/212 Roden St",2,"t",1055000,"S","Jellis",1.9,"3003",2,1,1,0,154,2009,"Melbourne"
"Bulleen","7 Kampman St",4,"h",1300000,"S","McGrath",11.8,"3105",4,2,2,744,300,1985,"Manningham"
"Middle Park","171 Ashworth St",3,"h",2623000,"S","Greg",4.1,"3206",3,2,2,181,212,2010,"Port Phillip"
"Richmond","43 Type St",3,"h",1270000,"S","Biggin",2.6,"3121",3,1,1,152,92,1910,"Yarra"
"Fawkner","15a Disney St",2,"u",460000,"S","Brad",12.4,"3060",NA,NA,NA,NA,NA,NA,""
"Essendon","55 Richardson St",4,"h",1800000,"S","Nelson",8,"3040",3,2,2,648,215,1910,"Moonee Valley"
"Thornbury","126 Smith St",3,"h",1380000,"SP","Jellis",6.5,"3071",3,2,1,359,128,1920,"Darebin"
"South Yarra","25/388 Toorak Rd",2,"u",627500,"S","hockingstuart",3.3,"3141",2,1,1,0,85,1970,"Stonnington"
"Prahran","49 Clifton St",2,"h",765000,"S","Beller",4.5,"3181",2,1,0,98,NA,1890,"Stonnington"
"Port Melbourne","180 Station St",3,"h",1402000,"S","RT",3.8,"3207",3,1,0,108,106,1900,"Port Phillip"
"Heidelberg Heights","19 Collins St",2,"h",650000,"S","Haughton",10.5,"3081",2,1,3,620,85,1950,"Banyule"
"Airport West","1/69 Bowes Av",3,"u",580000,"VB","Nelson",13.5,"3042",NA,NA,NA,NA,NA,NA,""
"Hawthorn East","797 Burwood Rd",5,"h",3500000,"VB","Jellis",7.5,"3123",4,2,2,1250,360,2000,"Boroondara"
"Avondale Heights","7 Arvern Av",4,"h",815000,"S","Moonee",10.5,"3034",NA,NA,NA,NA,NA,NA,""
"Kew","82 Parkhill Rd",3,"h",1420000,"S","Marshall",5.6,"3101",3,2,2,275,153,1999,"Boroondara"
"Oakleigh South","15 Yarra Ct",4,"h",1126000,"S","Buxton",14.7,"3167",4,2,2,530,242,1980,"Kingston"
"Reservoir","3/47 Crookston Rd",3,"t",620000,"SP","Nelson",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Preston","26 Paywit St",3,"h",1127000,"S","hockingstuart",8.8,"3072",3,2,2,590,140,1940,"Darebin"
"Niddrie","40a Jackson St",3,"h",1291000,"S","Barry",11.2,"3042",NA,NA,NA,NA,NA,NA,""
"Ivanhoe","2/80 Marshall St",2,"u",475000,"SP","Miles",7.9,"3079",2,1,1,0,NA,1960,"Banyule"
"Kew","5/93 Princess St",3,"t",732000,"S","Nelson",5.6,"3101",3,1,1,904,110,1980,"Boroondara"
"Strathmore","44b Woodland St",2,"h",630000,"S","Paul",9.7,"3041",NA,NA,NA,NA,NA,NA,""
"Hadfield","2/22 Volga St",2,"t",468000,"S","Nelson",12.1,"3046",2,1,1,137,110,2012,"Moreland"
"Williamstown","2/125 Ferguson St",1,"u",331000,"S","Williams",8,"3016",1,1,1,0,NA,NA,"Hobsons Bay"
"Preston","5 Ventnor St",3,"h",1123000,"S","hockingstuart",8.8,"3072",3,1,2,504,506,1950,"Darebin"
"Essendon","26 Bradshaw St",4,"h",1402000,"S","Nelson",8,"3040",4,2,1,554,193,1940,"Moonee Valley"
"South Yarra","21/27 Avoca St",2,"u",531000,"S","Jellis",3.3,"3141",NA,NA,NA,NA,NA,NA,""
"Pascoe Vale","7 Longview St",3,"h",792000,"S","Nelson",9.9,"3044",3,1,2,582,NA,NA,"Moreland"
"Ivanhoe","7/3 Kenilworth Pde",3,"u",650000,"PI","Barry",7.9,"3079",3,2,2,0,96,2000,"Banyule"
"Armadale","14 New St",3,"h",1300000,"VB","Jellis",6.3,"3143",2,1,2,212,106,1900,"Stonnington"
"West Footscray","39 Blandford St",3,"h",991000,"SP","Sweeney",8.2,"3012",3,1,4,495,NA,NA,"Maribyrnong"
"Gowanbrae","3 Gowanbrae Dr",3,"h",700000,"SP","Nelson",13.6,"3043",3,2,2,691,NA,NA,"Moreland"
"Heidelberg","1/14 Edgar St",3,"h",850000,"VB","Fletchers",10.6,"3084",3,2,2,285,NA,2010,"Banyule"
"Brighton East","299 South Rd",3,"h",1590000,"S","Marshall",10.7,"3187",3,3,2,481,244,2012,"Bayside"
"Ormond","1/316 Tucker Rd",2,"h",758000,"S","Buxton",11.8,"3204",2,1,1,250,NA,NA,"Glen Eira"
"Brighton East","6 Shasta Av",4,"h",2355000,"S","Buxton",10.7,"3187",NA,NA,NA,NA,NA,NA,""
"Elwood","1/125 Glen Huntly Rd",2,"u",630000,"S","Chisholm",7.7,"3184",2,1,1,0,NA,1960,"Port Phillip"
"Caulfield South","11/8 Bealiba Rd",2,"u",650000,"VB","hockingstuart",9.3,"3162",2,1,1,100,NA,NA,"Glen Eira"
"Templestowe Lower","3/246 High St",3,"u",755000,"S","Fletchers",13.8,"3107",NA,NA,NA,NA,NA,NA,""
"Malvern East","15 Alma St",4,"h",1550000,"VB","Jellis",11.2,"3145",4,2,4,848,NA,1970,"Stonnington"
"Fawkner","151 McBryde St",3,"h",640000,"SP","Brad",12.4,"3060",3,1,2,720,97,1950,"Moreland"
"Port Melbourne","133/95 Rouse St",2,"u",1070000,"S","RT",3.8,"3207",2,2,1,0,NA,2003,"Port Phillip"
"Hadfield","1/22 Volga St",3,"t",510000,"PI","Raine",12.1,"3046",3,2,2,234,115,2012,"Moreland"
"Hawthorn East","21 Myrniong Gr",4,"h",3310000,"S","RT",7.5,"3123",4,2,3,762,NA,NA,"Boroondara"
"Coburg","6 Stawell St",3,"h",935500,"S","Brad",7.8,"3058",3,1,2,386,NA,NA,"Moreland"
"Thornbury","2/6 Kemp St",1,"u",517500,"S","Harcourts",6.5,"3071",1,1,0,0,53,1910,"Darebin"
"Sunshine West","25 The Avenue",3,"h",750500,"S","Jas",13.5,"3020",3,2,6,805,181,1995,"Brimbank"
"Box Hill","1/7 Glenmore St",1,"u",288000,"SP","hockingstuart",13.1,"3128",1,1,1,774,NA,1970,"Whitehorse"
"Essendon","2 McHale Ct",2,"h",1065000,"VB","Nelson",8,"3040",2,1,2,477,143,1960,"Moonee Valley"
"Richmond","10/200 Brighton St",2,"u",646000,"S","Woodards",2.6,"3121",2,1,1,0,70,1993,"Yarra"
"St Kilda","30 Neptune St",3,"h",1345000,"PI","Wilson",6.1,"3182",NA,NA,NA,NA,NA,NA,""
"Albert Park","104 Richardson St",4,"h",2300000,"S","Marshall",3.3,"3206",4,2,1,153,180,1880,"Port Phillip"
"Prahran","2d Alfred St",3,"h",1210000,"PI","Abercromby's",4.5,"3181",NA,NA,NA,NA,NA,NA,""
"Ashburton","48 Nicholas St",5,"h",1600000,"S","Marshall",11,"3147",5,3,4,700,266,1950,"Boroondara"
"Kensington","15 Ormond St",4,"h",1675000,"S","Rendina",4.2,"3031",4,2,2,279,NA,NA,"Melbourne"
"Heidelberg Heights","2/35 Porter Rd",2,"u",605000,"S","Harcourts",10.5,"3081",2,1,1,166,87,2008,"Banyule"
"Hampton","18 Kanowna St",4,"h",2130000,"S","hockingstuart",13.7,"3188",4,2,2,714,188,1925,"Bayside"
"Carlton North","14/1102 Lygon St",1,"u",437000,"S","Nelson",3.2,"3054",1,1,1,0,56,1970,"Yarra"
"Brunswick","6/153 Barkly St",2,"u",600000,"S","Nelson",5.2,"3056",2,1,1,0,75,2011,"Moreland"
"Reservoir","1/40 Godley St",1,"h",260000,"PI","hockingstuart",11.2,"3073",1,1,1,141,80,2000,"Darebin"
"Yarraville","3/27 Stephen St",2,"t",650000,"VB","Jas",7,"3013",2,1,1,0,2,1980,"Maribyrnong"
"Malvern","35 Dixon St",3,"h",2050000,"S","Jellis",7.4,"3144",2,2,1,231,180,1890,"Stonnington"
"Brighton","133 Head St",4,"h",2905000,"S","Marshall",11.2,"3186",4,3,1,487,260,1905,"Bayside"
"Kingsville","92 Empress Av",3,"h",960000,"S","Village",7.8,"3012",NA,NA,NA,NA,NA,NA,""
"Murrumbeena","111/121 Murrumbeena Rd",2,"u",480000,"SP","Gary",12.1,"3163",NA,NA,NA,NA,NA,NA,""
"Bentleigh East","14 Charles St",3,"t",935000,"S","hockingstuart",13.9,"3165",3,2,2,230,160,2012,"Glen Eira"
"Collingwood","15/18 Islington St",3,"t",1125000,"SP","Nelson",1.6,"3066",3,2,2,0,151,2000,"Yarra"
"Hawthorn East","20 Stewart St",3,"h",1650000,"S","Marshall",7.5,"3123",3,1,1,354,115,1900,"Boroondara"
"Bentleigh East","77b Stockdale Av",4,"t",1235000,"SP","hockingstuart/Buxton",13.9,"3165",NA,NA,NA,NA,NA,NA,""
"Coburg","15 Hardwick St",5,"h",1020000,"PI","Raine",7.8,"3058",5,2,4,381,286,1985,"Moreland"
"Balwyn North","21 Riverside Av",3,"h",2086000,"S","Jellis",9.2,"3104",NA,NA,NA,NA,NA,NA,""
"Bentleigh","575 South Rd",3,"h",867000,"S","hockingstuart",13,"3204",3,2,1,578,NA,NA,"Glen Eira"
"Viewbank","52 Rosemar Cct",4,"h",910000,"S","Miles",13.8,"3084",4,2,2,626,NA,NA,"Banyule"
"Melbourne","1104/55 Queens Rd",2,"u",670000,"VB","Gary",2.8,"3000",NA,NA,NA,NA,NA,NA,""
"Moonee Ponds","38 Addison St",3,"h",1480000,"S","Alexkarbon",6.9,"3039",3,1,2,436,142,1910,"Moonee Valley"
"Camberwell","1/3 Crescent Rd",2,"u",667000,"S","Woodards",7.8,"3124",2,1,1,83,81,1960,"Boroondara"
"Parkville","16 William St",4,"h",1340000,"S","Nelson",2.6,"3052",NA,NA,NA,NA,NA,NA,""
"Fawkner","18 Pitt St",4,"h",635000,"S","Brad",12.4,"3060",4,2,2,567,116,1950,"Moreland"
"Albion","13 Gunnedah St",3,"h",760000,"S","Village",13.9,"3020",3,1,2,534,NA,NA,"Brimbank"
"Burwood","1/14 Corrigan St",3,"h",790000,"S","Fletchers",11.7,"3125",3,1,2,318,103,1960,"Whitehorse"
"Sunshine North","27 Bangerang Av",3,"h",650000,"PI","Douglas",13.3,"3020",NA,NA,NA,NA,NA,NA,""
"West Melbourne","1/44 Chetwynd street",2,"u",836000,"S","Collins",1.9,"3003",NA,NA,NA,NA,NA,NA,""
"Glen Iris","53 Madeline St",4,"h",1920000,"S","Marshall",9.2,"3146",4,2,2,706,NA,NA,"Boroondara"
"Williamstown North","18 Inglis St",3,"h",1225000,"SP","Raine",8.9,"3016",3,1,1,311,126,1920,"Hobsons Bay"
"Reservoir","30 Godley St",4,"h",895500,"S","Barry",11.2,"3073",4,2,4,864,NA,NA,"Darebin"
"Seddon","18 William St",4,"h",1270000,"S","Jas",6.6,"3011",3,1,1,352,150,1890,"Maribyrnong"
"Canterbury","20 Wentworth Av",5,"h",2750000,"VB","Jellis",9,"3126",NA,NA,NA,NA,NA,NA,""
"Brighton East","133A Centre Rd",4,"h",1310000,"PI","hockingstuart",10.7,"3187",4,3,2,618,213,2008,"Bayside"
"Toorak","27/789 Malvern Rd",2,"u",380000,"PI","Rodney",4.6,"3142",2,1,1,0,NA,NA,"Stonnington"
"Coburg","14 Rose St",4,"h",1150000,"PI","Peter",7.8,"3058",4,2,2,43,205,1930,"Moreland"
"Sunshine North","114 Warwick Rd",3,"h",503000,"S","Douglas",13.3,"3020",3,1,1,251,90,1945,"Brimbank"
"Hadfield","1 Barunah St",4,"h",777000,"S","Eview",12.1,"3046",3,1,2,700,176,1960,"Moreland"
"Kew","28/60 Harp Rd",1,"u",395000,"VB","Jellis",5.6,"3101",1,1,1,0,55,2005,"Boroondara"
"Preston","439 Plenty Rd",3,"h",1000000,"PI","hockingstuart",8.8,"3072",3,2,2,143,3,NA,"Darebin"
"Preston","4 Raymond St",4,"h",840000,"PI","hockingstuart",8.8,"3072",4,1,2,390,120,1950,"Darebin"
"Fairfield","4/10 Station St",1,"u",300000,"VB","Raine",5.8,"3078",1,1,1,0,NA,NA,"Yarra"
"Brunswick West","18/180 Union St",2,"u",435000,"S","Nelson",5.9,"3055",2,1,1,0,NA,2002,"Moreland"
"Yarraville","8/230 Williamstown Rd",2,"t",482500,"SP","Sweeney",7,"3013",NA,NA,NA,NA,NA,NA,""
"Sunshine North","6 Prince St",4,"h",640000,"S","Barry",13.3,"3020",4,1,1,609,NA,NA,"Brimbank"
"Doncaster","3/4 Frank St",3,"t",950000,"S","Ham",13.9,"3108",NA,NA,NA,NA,NA,NA,""
"Balwyn","18 Metung St",5,"h",3600000,"SP","Marshall",9.7,"3103",5,3,2,678,NA,NA,"Boroondara"
"Bentleigh","127 Tucker Rd",4,"h",1260000,"PI","hockingstuart",13,"3204",4,2,2,793,NA,NA,"Glen Eira"
"Balwyn North","2/3 Hatfield St",2,"u",691500,"S","Fletchers",9.2,"3104",3,1,1,0,102,1968,"Boroondara"
"Burwood","30 Waratah Av",3,"t",930000,"VB","Lindellas",11.7,"3125",NA,NA,NA,NA,NA,NA,""
"Sunshine","2/6 Farnsworth St",2,"h",435000,"PI","Douglas",12.6,"3020",2,1,1,155,NA,1940,"Brimbank"
"South Melbourne","13 Church St",3,"h",2250000,"S","Greg",2.1,"3205",NA,NA,NA,NA,NA,NA,""
"Watsonia","28 Papua St",2,"h",701000,"S","Barry",14.9,"3087",4,1,2,762,98,1970,"Banyule"
"Yallambie","5 Binalong Ct",3,"h",720000,"S","Barry",15,"3085",3,2,2,555,NA,1978,"Banyule"
"Sunshine","1/164 Cornwall Rd",3,"u",490000,"S","Barry",12.6,"3020",3,1,1,301,115,1950,"Brimbank"
"Thornbury","4/77 Pender St",2,"u",350000,"PI","Brace",6.5,"3071",2,1,1,0,NA,1960,"Darebin"
"South Yarra","403/700 Chapel St",2,"u",865000,"S","Williams",3.3,"3141",2,2,1,0,NA,2000,"Stonnington"
"Essendon","9/160 Napier St",1,"u",280000,"SP","Pagan",8,"3040",1,1,1,0,49,1960,"Moonee Valley"
"Fitzroy","107 Cecil St",2,"h",1300000,"S","Nelson",1.6,"3065",2,1,1,157,110,1900,"Yarra"
"Clifton Hill","48 Council St",3,"h",1150000,"VB","Nelson",3.4,"3068",3,1,1,169,NA,NA,"Yarra"
"South Yarra","5 Davis Av",3,"h",2710000,"S","Jellis",3.3,"3141",NA,NA,NA,NA,NA,NA,""
"Sunshine","20 Servante St",3,"h",735000,"PI","hockingstuart",12.6,"3020",3,1,3,435,NA,NA,"Brimbank"
"Preston","283 Tyler St",3,"h",928000,"S","hockingstuart",8.8,"3072",3,2,1,0,NA,NA,"Darebin"
"Aberfeldie","1 Chisholm St",3,"u",726000,"S","Barry",9.1,"3040",3,1,1,229,111,1996,"Moonee Valley"
"Kealba","10 Brazilia Av",4,"h",431000,"S","Brad",15,"3021",NA,NA,NA,NA,NA,NA,""
"Reservoir","1/23 George St",2,"u",431000,"S","Barry",11.2,"3073",2,1,1,139,NA,1975,"Darebin"
"Hampton","75 Crisp St",5,"h",3201000,"S","Marshall",13.7,"3188",5,3,2,760,NA,1935,"Bayside"
"Strathmore","3/15 Esmale St",3,"u",625000,"S","Barry",9.7,"3041",NA,NA,NA,NA,NA,NA,""
"Southbank","601/65 Coventry St",2,"u",622500,"S","hockingstuart",1.2,"3006",2,2,1,2955,67,2013,"Melbourne"
"Reservoir","34 Drysdale St",2,"h",635000,"PI","Barry",11.2,"3073",2,1,1,608,NA,NA,"Darebin"
"Windsor","8/14 Newry St",2,"u",474000,"S","Beller",5.1,"3181",2,1,1,0,66,1985,"Port Phillip"
"Caulfield North","105/241 Balaclava Rd",1,"u",400000,"VB","Gary",8.1,"3161",NA,NA,NA,NA,NA,NA,""
"Williamstown","8 Long St",2,"h",1050000,"S","Sweeney",8,"3016",2,1,4,445,148,NA,"Hobsons Bay"
"Yarraville","5 Highgate St",3,"h",966000,"S","JMRE",7,"3013",3,2,2,456,NA,1970,"Maribyrnong"
"Ivanhoe","9 Central Av",5,"h",2550000,"S","Miles",7.9,"3079",NA,NA,NA,NA,NA,NA,""
"Brighton","59 William St",2,"h",1701000,"S","Buxton",11.2,"3186",2,1,2,0,NA,NA,"Bayside"
"Reservoir","1/7 Elsey Rd",3,"u",540000,"PI","Barry",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Kew","205/56 Harp Rd",2,"u",727500,"S","Fletchers",5.6,"3101",NA,NA,NA,NA,NA,NA,""
"Strathmore","56 Hillsyde Pde",3,"h",1025000,"S","Considine",9.7,"3041",3,2,1,654,180,1950,"Moonee Valley"
"Kingsville","149 Empress Av",3,"h",1450000,"SP","Jas",7.8,"3012",NA,NA,NA,NA,NA,NA,""
"Caulfield South","9 Filbert St",3,"h",1470000,"S","Gary",9.3,"3162",3,2,2,296,NA,1910,"Glen Eira"
"Aberfeldie","58 Waverley St",2,"h",840000,"VB","Brad",9.1,"3040",2,1,1,373,NA,NA,"Moonee Valley"
"Port Melbourne","202/115 Nott St",2,"u",720000,"S","Chisholm",3.8,"3207",2,2,1,0,NA,2012,"Melbourne"
"Sunshine West","32 Buckingham Cr",4,"h",451500,"S","Barry",13.5,"3020",NA,NA,NA,NA,NA,NA,""
"Essendon","5/322 Buckley St",2,"u",460000,"S","Nelson",8,"3040",2,1,1,0,72,1960,"Moonee Valley"
"Alphington","6 Smith St",4,"h",2000000,"S","Brace",6.4,"3078",3,2,4,853,263,1930,"Darebin"
"Reservoir","1 Nisbett St",2,"t",425000,"S","Stockdale",11.2,"3073",2,1,1,145,100,NA,"Darebin"
"Strathmore Heights","5 Lockheed St",4,"h",950000,"S","Nelson",12.5,"3041",4,3,2,541,NA,NA,"Moonee Valley"
"Keilor Park","50 Collinson St",4,"h",820500,"S","YPA",14.5,"3042",4,2,7,754,NA,NA,"Brimbank"
"Balwyn North","42 Maud St",3,"h",1480000,"PI","Jellis",9.2,"3104",3,1,4,605,116,1950,"Boroondara"
"Essendon","125a Ogilvie St",4,"h",1590000,"S","Nelson",8,"3040",4,3,1,475,272,2007,"Moonee Valley"
"Reservoir","1/42 Tambo Av",4,"t",681500,"S","Nelson",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Brighton East","60 Baird St",3,"h",1860000,"S","Marshall",10.7,"3187",3,2,2,686,NA,1948,"Bayside"
"Oakleigh South","22 Pitt St",3,"h",1068000,"S","Ray",14.7,"3167",3,2,2,609,172,1970,"Monash"
"Essendon","3/12 Morton St",2,"h",711000,"S","Nelson",8,"3040",NA,NA,NA,NA,NA,NA,""
"Elsternwick","1/20 Downshire Rd",2,"u",800000,"S","Rodney",8.5,"3185",NA,NA,NA,NA,NA,NA,""
"Hawthorn","13/506 Glenferrie Rd",1,"u",290000,"S","Biggin",4.6,"3122",1,1,1,1568,NA,NA,"Boroondara"
"Coburg","1 Shaftsbury St",4,"h",990000,"SP","Grantham",7.8,"3058",4,1,1,488,142,1930,"Moreland"
"Sunshine","14 Thomson St",3,"h",595000,"S","Douglas",12.6,"3020",3,1,1,36,NA,NA,"Brimbank"
"Flemington","250 Pinoak Cr",3,"h",815000,"S","Nelson",4.4,"3031",NA,NA,NA,NA,NA,NA,""
"Brunswick West","1/19 Hopetoun Av",3,"t",775000,"S","Walshe",5.9,"3055",NA,NA,NA,NA,NA,NA,""
"Box Hill","1/1 Cherryhinton St",2,"u",790000,"S","Noel",13.1,"3128",2,1,1,195,NA,NA,"Whitehorse"
"Fawkner","3 Syndal St",3,"h",650000,"SP","Brad",12.4,"3060",3,1,3,602,97,1950,"Moreland"
"Flemington","29 Finsbury St",3,"h",1100000,"VB","Nelson",4.4,"3031",3,2,0,179,150,1900,"Moonee Valley"
"Brighton East","4a Marriage Rd",4,"h",1530000,"S","RT",10.7,"3187",2,2,1,603,177,1920,"Bayside"
"Reservoir","124 Rathcown Rd",2,"h",680000,"S","hockingstuart",11.2,"3073",2,1,1,750,92,1960,"Darebin"
"Glenroy","109 Paget Av",3,"h",500000,"PI","Barry",13,"3046",NA,NA,NA,NA,NA,NA,""
"Reservoir","8/99 Barton St",2,"u",300000,"VB","Love",11.2,"3073",2,1,1,0,55,2014,"Darebin"
"Maidstone","10 Thomson St",3,"h",832000,"SP","Sweeney",9.2,"3012",3,1,2,300,125,1950,"Maribyrnong"
"Templestowe Lower","49 Feathertop Av",6,"h",1363000,"S","Jellis",13.8,"3107",NA,NA,NA,NA,NA,NA,""
"Ascot Vale","2 The Parade",2,"h",965000,"S","Nelson",5.9,"3032",2,1,1,170,NA,NA,"Moonee Valley"
"Burwood","3/37 Sixth Av",2,"u",580000,"S","Buxton",11.7,"3125",NA,NA,NA,NA,NA,NA,""
"Reservoir","20 Robins Av",5,"h",1195000,"S","Ray",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Kew","34 Alfred St",3,"h",3065000,"S","Kay",5.6,"3101",3,2,3,773,NA,NA,"Boroondara"
"Glen Iris","3 Fairview Gr",5,"h",3365000,"S","RT",9.2,"3146",5,2,2,1339,270,1925,"Stonnington"
"West Footscray","1 Buxton St",3,"h",1061000,"S","Burnham",8.2,"3012",3,1,1,533,NA,NA,"Maribyrnong"
"Ascot Vale","75 Munro St",2,"h",925000,"S","Barry",5.9,"3032",2,1,1,407,NA,NA,"Moonee Valley"
"Glen Iris","22 Aintree Rd",4,"h",1800000,"SP","Marshall",9.2,"3146",4,3,2,743,NA,NA,"Stonnington"
